buying_sight,buying_transfer,currency_id,currency_name_eng,mid_rate,period,selling
35.4167000,35.5142000,USD,USA : DOLLAR (USD) ,35.6825000,2024-02-05,35.8507000
44.4323000,44.5759000,GBP,UNITED KINGDOM : POUND STERING (GBP),45.0093000,2024-02-05,45.4427000
37.9610000,38.0706000,EUR,EURO ZONE : EURO (EUR),38.4457000,2024-02-05,38.8208000
23.5984000,23.7079000,JPY,JAPAN : YEN (100 YEN) (JPY) ,24.0528000,2024-02-05,24.3977000
4.5037000,4.5192000,HKD,HONG KONG : DOLLAR (HKD),4.5619000,2024-02-05,4.6046000
7.3709000,7.4096000,MYR,MALAYSIA : RINGGIT (MYR),7.5124000,2024-02-05,7.6151000
26.1767000,26.2536000,SGD,SINGAPORE : DOLLAR (SGD),26.5516000,2024-02-05,26.8496000
26.1024000,26.1924000,BND,BRUNEI : DOLLAR (BND) ,26.5687000,2024-02-05,26.9450000
0.6088000,0.6126000,PHP,PHILIPPINES : PESO (PHP) ,0.6335000,2024-02-05,0.6543000
2.1041000,2.1823000,IDR,"INDONESIA : RUPIAH (1,000 RUPIAH) (IDR)",2.2829000,2024-02-05,2.3835000
0.4062000,0.4090000,INR,INDIA : RUPEE (INR),0.4355000,2024-02-05,0.4620000
40.6473000,40.7579000,CHF,SWITZERLAND : FRANC (CHF) ,41.1306000,2024-02-05,41.5032000
22.7139000,22.7846000,AUD,AUSTRALIA : DOLLAR (AUD) ,23.2046000,2024-02-05,23.6246000
21.2568000,21.3192000,NZD,NEW ZEALAND : DOLLAR (NZD),21.6455000,2024-02-05,21.9717000
,0.1270000,PKR,PAKISTAN : RUPEE (PKR),0.1276000,2024-02-05,0.1282000
26.0975000,26.1741000,CAD,CANADA : DOLLAR (CAD),26.4635000,2024-02-05,26.7528000
3.3415000,3.3571000,SEK,SWEDEN : KRONA (SEK),3.3940000,2024-02-05,3.4309000
5.0946000,5.1103000,DKK,DENMARK : KRONE (DKK) ,5.1613000,2024-02-05,5.2122000
3.3038000,3.3158000,NOK,NORWAY : KRONE (NOK),3.3562000,2024-02-05,3.3965000
4.8495000,4.8848000,CNY,CHINA : YUAN RENMINBI (CNY),4.9557000,2024-02-05,5.0266000
,2.0731000,MXN,MEXICO : PESO (MXN),2.0829000,2024-02-05,2.0927000
,1.8786000,ZAR,SOUTH AFRICA : RAND (ZAR),1.8875000,2024-02-05,1.8964000
,0.0169000,MMK,MYANMAR : KYAT (MMK) ,0.0170000,2024-02-05,0.0171000
,0.0265000,KRW,SOUTH KOREA : WON (KRW) ,0.0267000,2024-02-05,0.0268000
,1.1314000,TWD,TAIWAN : DOLLAR (TWD),1.1368000,2024-02-05,1.1421000
,115.3808000,KWD,KUWAIT : DINAR (KWD) ,115.9274000,2024-02-05,116.4740000
,9.4702000,SAR,SAUDI ARABIA : RIYAL (SAR),9.5151000,2024-02-05,9.5599000
,9.6690000,AED,UNITED ARAB EMIRATES : DIRHAM (AED),9.7148000,2024-02-05,9.7606000
,0.3236000,BDT,BANGLADESH : TAKA (BDT),0.3252000,2024-02-05,0.3267000
,1.5364000,CZK,CZECH REPUBLIC : KORUNA (CZK),1.5437000,2024-02-05,1.5510000
,0.0086960,KHR,CAMBODIA : RIEL(KHR) ,0.0087370,2024-02-05,0.0087780
,0.2213000,KES,KENYA : SHILLING (KES) ,0.2224000,2024-02-05,0.2234000
,0.0017100,LAK,LAO PEOPLE'S DEMOCRATIC REPUBLIC : KIP(LAK),0.0017180,2024-02-05,0.0017260
,0.3903000,RUB,RUSSIAN FEDERATION : RUBLE (RUB) ,0.3922000,2024-02-05,0.3940000
,0.0014580,VND,VIET NAM : DONG(VND) ,0.0014650,2024-02-05,0.0014720
,1.1493000,EGP,EGYPT : EGYPTIAN POUND (EGP) ,1.1548000,2024-02-05,1.1602000
,8.8799000,PLN,POLAND : ZLOTY (PLN) ,8.9220000,2024-02-05,8.9640000
,0.1139000,LKR,SRI LANKA : SRI LANKA RUPEE (LKR) ,0.1145000,2024-02-05,0.1150000
,0.0271000,IQD,IRAQ : IRAQI DINAR (IQD) ,0.0273000,2024-02-05,0.0274000
,94.2021000,BHD,BAHRAIN : BAHRAIN DINAR (BHD) ,94.6484000,2024-02-05,95.0947000
,92.2447000,OMR,OMAN : RIAL OMANI (OMR) ,92.6817000,2024-02-05,93.1187000
,50.0694000,JOD,JORDAN : JORDANIAN DINAR (JOD) ,50.3066000,2024-02-05,50.5438000
,9.7419000,QAR,QATAR : QATARI RIAL (QAR) ,9.7881000,2024-02-05,9.8342000
,2.2972000,MVR,MALDIVES : RUFIYAA (MVR) ,2.3081000,2024-02-05,2.3189000
,0.2677000,NPR,NEPAL : NEPALESE RUPEE (NPR) ,0.2690000,2024-02-05,0.2702000
,9.4823000,PGK,PAPUA NEW GUINEA : KINA (PGK) ,9.5272000,2024-02-05,9.5721000
,9.7158000,ILS,ISRAEL : NEW ISRAELI SHEKEL (ILS) ,9.7619000,2024-02-05,9.8079000
,0.0997000,HUF,HUNGARY : FORINT (HUF) ,0.1002000,2024-02-05,0.1007000
35.0841000,35.1778000,USD,USA : DOLLAR (USD) ,35.3412000,2024-02-02,35.5045000
44.4808000,44.6236000,GBP,UNITED KINGDOM : POUND STERING (GBP),45.0554000,2024-02-02,45.4871000
37.9379000,38.0461000,EUR,EURO ZONE : EURO (EUR),38.4215000,2024-02-02,38.7968000
23.6984000,23.8089000,JPY,JAPAN : YEN (100 YEN) (JPY) ,24.1588000,2024-02-02,24.5087000
4.4636000,4.4796000,HKD,HONG KONG : DOLLAR (HKD),4.5203000,2024-02-02,4.5610000
7.3292000,7.3698000,MYR,MALAYSIA : RINGGIT (MYR),7.4734000,2024-02-02,7.5769000
26.0909000,26.1639000,SGD,SINGAPORE : DOLLAR (SGD),26.4549000,2024-02-02,26.7458000
25.9757000,26.0657000,BND,BRUNEI : DOLLAR (BND) ,26.4428000,2024-02-02,26.8199000
0.6053000,0.6089000,PHP,PHILIPPINES : PESO (PHP) ,0.6291000,2024-02-02,0.6493000
2.0725000,2.1576000,IDR,"INDONESIA : RUPIAH (1,000 RUPIAH) (IDR)",2.2596000,2024-02-02,2.3615000
0.4004000,0.4006000,INR,INDIA : RUPEE (INR),0.4296000,2024-02-02,0.4585000
40.7563000,40.8601000,CHF,SWITZERLAND : FRANC (CHF) ,41.2253000,2024-02-02,41.5904000
22.7824000,22.8562000,AUD,AUSTRALIA : DOLLAR (AUD) ,23.2729000,2024-02-02,23.6895000
21.3403000,21.4047000,NZD,NEW ZEALAND : DOLLAR (NZD),21.7272000,2024-02-02,22.0497000
,0.1258000,PKR,PAKISTAN : RUPEE (PKR),0.1264000,2024-02-02,0.1270000
26.0563000,26.1338000,CAD,CANADA : DOLLAR (CAD),26.4130000,2024-02-02,26.6922000
3.3494000,3.3650000,SEK,SWEDEN : KRONA (SEK),3.4010000,2024-02-02,3.4370000
5.0922000,5.1089000,DKK,DENMARK : KRONE (DKK) ,5.1567000,2024-02-02,5.2044000
3.3337000,3.3463000,NOK,NORWAY : KRONE (NOK),3.3851000,2024-02-02,3.4238000
4.8196000,4.8536000,CNY,CHINA : YUAN RENMINBI (CNY),4.9237000,2024-02-02,4.9937000
,2.0586000,MXN,MEXICO : PESO (MXN),2.0682000,2024-02-02,2.0777000
,1.8911000,ZAR,SOUTH AFRICA : RAND (ZAR),1.8999000,2024-02-02,1.9087000
